variant,variant_label,capacity,capacity_label,seed,model,tie_aware_top1,strict_top1,biased_argmin_top1,mean_tie_count,same_action_diff_state_win,same_state_diff_action_win,same_action_diff_state_margin,same_state_diff_action_margin,relative_latency,latency_ms_b128,lambda,utility
block3_h48_seed10,"3-block, H=48",tiny_full,Tiny,0,tiny_full_seed0,0.868159,0.868159,0.868159,1.0,0.909204,0.992537,0.146118,0.139367,0.18631239428236,0.6416039541363716,0.2,0.830896521143528
block3_h48_seed10,"3-block, H=48",tiny_full,Tiny,1,tiny_full_seed1,0.830846,0.830846,0.830846,1.0,0.870647,0.983831,0.128531,0.13623,0.18631239428236,0.6416039541363716,0.2,0.7935835211435279
block3_h48_seed10,"3-block, H=48",tiny_full,Tiny,2,tiny_full_seed2,0.860697,0.860697,0.860697,1.0,0.905473,0.99005,0.143962,0.137114,0.18631239428236,0.6416039541363716,0.2,0.823434521143528
block3_h48_seed10,"3-block, H=48",small_full,Small,0,small_full_seed0,0.853234,0.853234,0.853234,1.0,0.896766,0.997512,0.139201,0.14486,0.2010189189360956,0.692248810082674,0.2,0.8130302162127809
block3_h48_seed10,"3-block, H=48",small_full,Small,1,small_full_seed1,0.885572,0.885572,0.885572,1.0,0.91791,0.991294,0.158403,0.139938,0.2010189189360956,0.692248810082674,0.2,0.8453682162127809
block3_h48_seed10,"3-block, H=48",small_full,Small,2,small_full_seed2,0.863184,0.863184,0.863184,1.0,0.904229,0.99005,0.147925,0.144826,0.2010189189360956,0.692248810082674,0.2,0.8229802162127808
block3_h48_seed10,"3-block, H=48",medium_full,Medium,0,medium_full_seed0,0.883085,0.883085,0.883085,1.0,0.916667,0.995025,0.147614,0.139254,0.382637108570064,1.3176873326301577,0.2,0.8065575782859872
block3_h48_seed10,"3-block, H=48",medium_full,Medium,1,medium_full_seed1,0.885572,0.885572,0.885572,1.0,0.912935,0.995025,0.165232,0.144869,0.382637108570064,1.3176873326301577,0.2,0.8090445782859872
block3_h48_seed10,"3-block, H=48",medium_full,Medium,2,medium_full_seed2,0.883085,0.883085,0.883085,1.0,0.915423,0.993781,0.150999,0.137633,0.382637108570064,1.3176873326301577,0.2,0.8065575782859872
block3_h48_seed10,"3-block, H=48",full,Full,0,full_seed0,0.840796,0.840796,0.840796,1.0,0.879353,0.992537,0.156519,0.146012,1.0,3.443699795752764,0.2,0.6407959999999999
block3_h48_seed10,"3-block, H=48",full,Full,1,full_seed1,0.900498,0.900498,0.900498,1.0,0.929104,0.992537,0.163478,0.143309,1.0,3.443699795752764,0.2,0.7004980000000001
block3_h48_seed10,"3-block, H=48",full,Full,2,full_seed2,0.875622,0.875622,0.875622,1.0,0.901741,0.993781,0.166312,0.150226,1.0,3.443699795752764,0.2,0.675622
block3_h72_seed14,"3-block, H=72",tiny_full,Tiny,0,tiny_full_seed0,0.815981,0.815981,0.815981,1.0,0.868039,0.992736,0.115235,0.135569,0.18631239428236,0.6416039541363716,0.2,0.7787185211435279
block3_h72_seed14,"3-block, H=72",tiny_full,Tiny,1,tiny_full_seed1,0.774818,0.774818,0.774818,1.0,0.837772,0.991525,0.113704,0.141427,0.18631239428236,0.6416039541363716,0.2,0.737555521143528
block3_h72_seed14,"3-block, H=72",tiny_full,Tiny,2,tiny_full_seed2,0.837772,0.837772,0.837772,1.0,0.877724,0.990315,0.1221,0.135424,0.18631239428236,0.6416039541363716,0.2,0.8005095211435279
block3_h72_seed14,"3-block, H=72",small_full,Small,0,small_full_seed0,0.731235,0.731235,0.731235,1.0,0.786925,0.991525,0.102013,0.144221,0.2010189189360956,0.692248810082674,0.2,0.6910312162127809
block3_h72_seed14,"3-block, H=72",small_full,Small,1,small_full_seed1,0.849879,0.849879,0.849879,1.0,0.894673,0.989104,0.131185,0.139305,0.2010189189360956,0.692248810082674,0.2,0.8096752162127809
block3_h72_seed14,"3-block, H=72",small_full,Small,2,small_full_seed2,0.794189,0.794189,0.794189,1.0,0.847458,0.991525,0.111314,0.140463,0.2010189189360956,0.692248810082674,0.2,0.7539852162127809
block3_h72_seed14,"3-block, H=72",medium_full,Medium,0,medium_full_seed0,0.842615,0.842615,0.842615,1.0,0.887409,0.979419,0.120048,0.139281,0.382637108570064,1.3176873326301577,0.2,0.7660875782859872
block3_h72_seed14,"3-block, H=72",medium_full,Medium,1,medium_full_seed1,0.83293,0.83293,0.83293,1.0,0.869249,0.985472,0.125578,0.140148,0.382637108570064,1.3176873326301577,0.2,0.7564025782859871
block3_h72_seed14,"3-block, H=72",medium_full,Medium,2,medium_full_seed2,0.811138,0.811138,0.811138,1.0,0.861985,0.986683,0.117116,0.136608,0.382637108570064,1.3176873326301577,0.2,0.7346105782859872
block3_h72_seed14,"3-block, H=72",full,Full,0,full_seed0,0.818402,0.818402,0.818402,1.0,0.857143,0.976998,0.122844,0.137266,1.0,3.443699795752764,0.2,0.6184019999999999
block3_h72_seed14,"3-block, H=72",full,Full,1,full_seed1,0.808717,0.808717,0.808717,1.0,0.853511,0.984262,0.121016,0.138081,1.0,3.443699795752764,0.2,0.608717
block3_h72_seed14,"3-block, H=72",full,Full,2,full_seed2,0.79661,0.79661,0.79661,1.0,0.830508,0.987893,0.123784,0.144994,1.0,3.443699795752764,0.2,0.5966100000000001
block2_h72_seed11,"2-block, H=72",tiny_full,Tiny,0,tiny_full_seed0,0.953125,0.951923,0.954327,1.002404,0.96875,0.986779,0.179288,0.188609,0.18631239428236,0.6416039541363716,0.3,0.897231281715292
block2_h72_seed11,"2-block, H=72",tiny_full,Tiny,1,tiny_full_seed1,0.967548,0.966346,0.96875,1.002404,0.975962,0.986779,0.18874,0.199597,0.18631239428236,0.6416039541363716,0.3,0.911654281715292
block2_h72_seed11,"2-block, H=72",tiny_full,Tiny,2,tiny_full_seed2,0.953125,0.951923,0.954327,1.002404,0.96875,0.984375,0.189649,0.188651,0.18631239428236,0.6416039541363716,0.3,0.897231281715292
block2_h72_seed11,"2-block, H=72",small_full,Small,0,small_full_seed0,0.929087,0.927885,0.930288,1.002404,0.953125,0.985577,0.164265,0.201268,0.2010189189360956,0.692248810082674,0.3,0.8687813243191713
block2_h72_seed11,"2-block, H=72",small_full,Small,1,small_full_seed1,0.97476,0.973558,0.975962,1.002404,0.980769,0.989183,0.195657,0.191234,0.2010189189360956,0.692248810082674,0.3,0.9144543243191713
block2_h72_seed11,"2-block, H=72",small_full,Small,2,small_full_seed2,0.97476,0.973558,0.975962,1.002404,0.983173,0.985577,0.189935,0.195729,0.2010189189360956,0.692248810082674,0.3,0.9144543243191713
block2_h72_seed11,"2-block, H=72",medium_full,Medium,0,medium_full_seed0,0.955529,0.954327,0.956731,1.002404,0.97476,0.986779,0.187505,0.191808,0.382637108570064,1.3176873326301577,0.3,0.8407378674289807
block2_h72_seed11,"2-block, H=72",medium_full,Medium,1,medium_full_seed1,0.97476,0.973558,0.975962,1.002404,0.983173,0.986779,0.188466,0.188182,0.382637108570064,1.3176873326301577,0.3,0.8599688674289807
block2_h72_seed11,"2-block, H=72",medium_full,Medium,2,medium_full_seed2,0.969952,0.96875,0.971154,1.002404,0.981971,0.984375,0.178739,0.185294,0.382637108570064,1.3176873326301577,0.3,0.8551608674289808
block2_h72_seed11,"2-block, H=72",full,Full,0,full_seed0,0.97476,0.973558,0.975962,1.002404,0.986779,0.986779,0.197086,0.184628,1.0,3.443699795752764,0.3,0.67476
block2_h72_seed11,"2-block, H=72",full,Full,1,full_seed1,0.967548,0.966346,0.96875,1.002404,0.985577,0.983173,0.199834,0.188855,1.0,3.443699795752764,0.3,0.667548
block2_h72_seed11,"2-block, H=72",full,Full,2,full_seed2,0.979567,0.978365,0.980769,1.002404,0.990385,0.987981,0.197445,0.189867,1.0,3.443699795752764,0.3,0.679567
block2_v18_seed12,"2-block, V=1.8",tiny_full,Tiny,0,tiny_full_seed0,0.994924,0.994924,0.994924,1.0,1.0,0.997462,0.219811,0.20385,0.18631239428236,0.6416039541363716,0.3,0.939030281715292
block2_v18_seed12,"2-block, V=1.8",tiny_full,Tiny,1,tiny_full_seed1,1.0,1.0,1.0,1.0,1.0,1.0,0.222141,0.209399,0.18631239428236,0.6416039541363716,0.3,0.944106281715292
block2_v18_seed12,"2-block, V=1.8",tiny_full,Tiny,2,tiny_full_seed2,0.984772,0.984772,0.984772,1.0,0.993655,0.997462,0.219471,0.199997,0.18631239428236,0.6416039541363716,0.3,0.928878281715292
block2_v18_seed12,"2-block, V=1.8",small_full,Small,0,small_full_seed0,0.98731,0.98731,0.98731,1.0,0.992386,0.998731,0.210554,0.213613,0.2010189189360956,0.692248810082674,0.3,0.9270043243191713
block2_v18_seed12,"2-block, V=1.8",small_full,Small,1,small_full_seed1,0.979695,0.979695,0.979695,1.0,0.991117,0.997462,0.223452,0.198255,0.2010189189360956,0.692248810082674,0.3,0.9193893243191713
block2_v18_seed12,"2-block, V=1.8",small_full,Small,2,small_full_seed2,0.992386,0.992386,0.992386,1.0,0.994924,0.998731,0.21851,0.204858,0.2010189189360956,0.692248810082674,0.3,0.9320803243191713
block2_v18_seed12,"2-block, V=1.8",medium_full,Medium,0,medium_full_seed0,0.979695,0.979695,0.979695,1.0,0.988579,0.997462,0.212601,0.19645,0.382637108570064,1.3176873326301577,0.3,0.8649038674289808
block2_v18_seed12,"2-block, V=1.8",medium_full,Medium,1,medium_full_seed1,0.989848,0.989848,0.989848,1.0,0.993655,0.998731,0.21874,0.198138,0.382637108570064,1.3176873326301577,0.3,0.8750568674289807
block2_v18_seed12,"2-block, V=1.8",medium_full,Medium,2,medium_full_seed2,0.982234,0.982234,0.982234,1.0,0.988579,0.996193,0.210573,0.192982,0.382637108570064,1.3176873326301577,0.3,0.8674428674289809
block2_v18_seed12,"2-block, V=1.8",full,Full,0,full_seed0,0.994924,0.994924,0.994924,1.0,0.998731,0.998731,0.222441,0.19872,1.0,3.443699795752764,0.3,0.6949240000000001
block2_v18_seed12,"2-block, V=1.8",full,Full,1,full_seed1,0.989848,0.989848,0.989848,1.0,0.993655,0.998731,0.227576,0.198829,1.0,3.443699795752764,0.3,0.689848
block2_v18_seed12,"2-block, V=1.8",full,Full,2,full_seed2,0.992386,0.992386,0.992386,1.0,0.997462,0.998731,0.222241,0.200076,1.0,3.443699795752764,0.3,0.692386
block3_h36_seed13,"3-block, H=36",tiny_full,Tiny,0,tiny_full_seed0,0.894866,0.894866,0.894866,1.0,0.933985,0.991443,0.143116,0.137059,0.18631239428236,0.6416039541363716,0.3,0.838972281715292
block3_h36_seed13,"3-block, H=36",tiny_full,Tiny,1,tiny_full_seed1,0.853301,0.853301,0.853301,1.0,0.893643,0.986553,0.133411,0.136722,0.18631239428236,0.6416039541363716,0.3,0.797407281715292
block3_h36_seed13,"3-block, H=36",tiny_full,Tiny,2,tiny_full_seed2,0.880196,0.880196,0.880196,1.0,0.915648,0.99511,0.141067,0.136097,0.18631239428236,0.6416039541363716,0.3,0.824302281715292
block3_h36_seed13,"3-block, H=36",small_full,Small,0,small_full_seed0,0.897311,0.897311,0.897311,1.0,0.93643,0.99511,0.143448,0.141824,0.2010189189360956,0.692248810082674,0.3,0.8370053243191713
block3_h36_seed13,"3-block, H=36",small_full,Small,1,small_full_seed1,0.850856,0.850856,0.850856,1.0,0.898533,0.979218,0.143942,0.133429,0.2010189189360956,0.692248810082674,0.3,0.7905503243191713
block3_h36_seed13,"3-block, H=36",small_full,Small,2,small_full_seed2,0.858191,0.858191,0.858191,1.0,0.91198,0.988998,0.141066,0.140822,0.2010189189360956,0.692248810082674,0.3,0.7978853243191714
block3_h36_seed13,"3-block, H=36",medium_full,Medium,0,medium_full_seed0,0.863081,0.863081,0.863081,1.0,0.9022,0.984108,0.143133,0.130611,0.382637108570064,1.3176873326301577,0.3,0.7482898674289808
block3_h36_seed13,"3-block, H=36",medium_full,Medium,1,medium_full_seed1,0.889976,0.889976,0.889976,1.0,0.908313,0.99022,0.158325,0.140349,0.382637108570064,1.3176873326301577,0.3,0.7751848674289807
block3_h36_seed13,"3-block, H=36",medium_full,Medium,2,medium_full_seed2,0.882641,0.882641,0.882641,1.0,0.927873,0.98533,0.148564,0.131509,0.382637108570064,1.3176873326301577,0.3,0.7678498674289809
block3_h36_seed13,"3-block, H=36",full,Full,0,full_seed0,0.828851,0.828851,0.828851,1.0,0.863081,0.979218,0.145654,0.142981,1.0,3.443699795752764,0.3,0.528851
block3_h36_seed13,"3-block, H=36",full,Full,1,full_seed1,0.875306,0.875306,0.875306,1.0,0.900978,0.986553,0.15247,0.137736,1.0,3.443699795752764,0.3,0.5753060000000001
block3_h36_seed13,"3-block, H=36",full,Full,2,full_seed2,0.860636,0.860636,0.860636,1.0,0.888753,0.982885,0.156012,0.144685,1.0,3.443699795752764,0.3,0.5606359999999999
block3_h48_seed10,"3-block, H=48",tiny_full,Tiny,0,tiny_full_seed0,0.868159,0.868159,0.868159,1.0,0.909204,0.992537,0.146118,0.139367,0.18631239428236,0.6416039541363716,0.3,0.812265281715292
block3_h48_seed10,"3-block, H=48",tiny_full,Tiny,1,tiny_full_seed1,0.830846,0.830846,0.830846,1.0,0.870647,0.983831,0.128531,0.13623,0.18631239428236,0.6416039541363716,0.3,0.774952281715292
block3_h48_seed10,"3-block, H=48",tiny_full,Tiny,2,tiny_full_seed2,0.860697,0.860697,0.860697,1.0,0.905473,0.99005,0.143962,0.137114,0.18631239428236,0.6416039541363716,0.3,0.804803281715292
block3_h48_seed10,"3-block, H=48",small_full,Small,0,small_full_seed0,0.853234,0.853234,0.853234,1.0,0.896766,0.997512,0.139201,0.14486,0.2010189189360956,0.692248810082674,0.3,0.7929283243191714
block3_h48_seed10,"3-block, H=48",small_full,Small,1,small_full_seed1,0.885572,0.885572,0.885572,1.0,0.91791,0.991294,0.158403,0.139938,0.2010189189360956,0.692248810082674,0.3,0.8252663243191714
block3_h48_seed10,"3-block, H=48",small_full,Small,2,small_full_seed2,0.863184,0.863184,0.863184,1.0,0.904229,0.99005,0.147925,0.144826,0.2010189189360956,0.692248810082674,0.3,0.8028783243191713
block3_h48_seed10,"3-block, H=48",medium_full,Medium,0,medium_full_seed0,0.883085,0.883085,0.883085,1.0,0.916667,0.995025,0.147614,0.139254,0.382637108570064,1.3176873326301577,0.3,0.7682938674289808
block3_h48_seed10,"3-block, H=48",medium_full,Medium,1,medium_full_seed1,0.885572,0.885572,0.885572,1.0,0.912935,0.995025,0.165232,0.144869,0.382637108570064,1.3176873326301577,0.3,0.7707808674289809
block3_h48_seed10,"3-block, H=48",medium_full,Medium,2,medium_full_seed2,0.883085,0.883085,0.883085,1.0,0.915423,0.993781,0.150999,0.137633,0.382637108570064,1.3176873326301577,0.3,0.7682938674289808
block3_h48_seed10,"3-block, H=48",full,Full,0,full_seed0,0.840796,0.840796,0.840796,1.0,0.879353,0.992537,0.156519,0.146012,1.0,3.443699795752764,0.3,0.540796
block3_h48_seed10,"3-block, H=48",full,Full,1,full_seed1,0.900498,0.900498,0.900498,1.0,0.929104,0.992537,0.163478,0.143309,1.0,3.443699795752764,0.3,0.600498
block3_h48_seed10,"3-block, H=48",full,Full,2,full_seed2,0.875622,0.875622,0.875622,1.0,0.901741,0.993781,0.166312,0.150226,1.0,3.443699795752764,0.3,0.5756220000000001
block3_h72_seed14,"3-block, H=72",tiny_full,Tiny,0,tiny_full_seed0,0.815981,0.815981,0.815981,1.0,0.868039,0.992736,0.115235,0.135569,0.18631239428236,0.6416039541363716,0.3,0.7600872817152919
block3_h72_seed14,"3-block, H=72",tiny_full,Tiny,1,tiny_full_seed1,0.774818,0.774818,0.774818,1.0,0.837772,0.991525,0.113704,0.141427,0.18631239428236,0.6416039541363716,0.3,0.718924281715292
block3_h72_seed14,"3-block, H=72",tiny_full,Tiny,2,tiny_full_seed2,0.837772,0.837772,0.837772,1.0,0.877724,0.990315,0.1221,0.135424,0.18631239428236,0.6416039541363716,0.3,0.781878281715292
block3_h72_seed14,"3-block, H=72",small_full,Small,0,small_full_seed0,0.731235,0.731235,0.731235,1.0,0.786925,0.991525,0.102013,0.144221,0.2010189189360956,0.692248810082674,0.3,0.6709293243191713
block3_h72_seed14,"3-block, H=72",small_full,Small,1,small_full_seed1,0.849879,0.849879,0.849879,1.0,0.894673,0.989104,0.131185,0.139305,0.2010189189360956,0.692248810082674,0.3,0.7895733243191714
block3_h72_seed14,"3-block, H=72",small_full,Small,2,small_full_seed2,0.794189,0.794189,0.794189,1.0,0.847458,0.991525,0.111314,0.140463,0.2010189189360956,0.692248810082674,0.3,0.7338833243191714
block3_h72_seed14,"3-block, H=72",medium_full,Medium,0,medium_full_seed0,0.842615,0.842615,0.842615,1.0,0.887409,0.979419,0.120048,0.139281,0.382637108570064,1.3176873326301577,0.3,0.7278238674289808
block3_h72_seed14,"3-block, H=72",medium_full,Medium,1,medium_full_seed1,0.83293,0.83293,0.83293,1.0,0.869249,0.985472,0.125578,0.140148,0.382637108570064,1.3176873326301577,0.3,0.7181388674289808
block3_h72_seed14,"3-block, H=72",medium_full,Medium,2,medium_full_seed2,0.811138,0.811138,0.811138,1.0,0.861985,0.986683,0.117116,0.136608,0.382637108570064,1.3176873326301577,0.3,0.6963468674289808
block3_h72_seed14,"3-block, H=72",full,Full,0,full_seed0,0.818402,0.818402,0.818402,1.0,0.857143,0.976998,0.122844,0.137266,1.0,3.443699795752764,0.3,0.518402
block3_h72_seed14,"3-block, H=72",full,Full,1,full_seed1,0.808717,0.808717,0.808717,1.0,0.853511,0.984262,0.121016,0.138081,1.0,3.443699795752764,0.3,0.5087170000000001
block3_h72_seed14,"3-block, H=72",full,Full,2,full_seed2,0.79661,0.79661,0.79661,1.0,0.830508,0.987893,0.123784,0.144994,1.0,3.443699795752764,0.3,0.49661000000000005
